x,x-1,y-1,x-2,y-2,y
295,157,-62.74971856,340,-59.59975819,26.6502539
100,295,26.6502539,157,-62.74971856,-63.498594
367,100,-63.498594,295,26.6502539,61.75024795
428,367,61.75024795,100,-63.498594,-3.099737814
279,428,-3.099737814,367,61.75024795,-58.55573485
353,279,-58.55573485,428,-3.099737814,4.550291564
277,353,4.550291564,279,-58.55573485,-36.60392799
410,277,-36.60392799,353,4.550291564,19.4007458
219,410,19.4007458,277,-36.60392799,-68.24735021
295,219,-68.24735021,410,19.4007458,8.050214652
154,295,8.050214652,219,-68.24735021,-49.98480381
413,154,-49.98480381,295,8.050214652,57.05040008
348,413,57.05040008,154,-49.98480381,-36.89969285
436,348,-36.89969285,413,57.05040008,4.600733898
456,436,4.600733898,348,-36.89969285,-16.75488739
398,456,-16.75488739,436,4.600733898,-37.29645046
119,398,-37.29645046,456,-16.75488739,-89.64928162
482,119,-89.64928162,398,-37.29645046,84.80012441
478,482,84.80012441,119,-89.64928162,-25.09986096
129,478,-25.09986096,482,84.80012441,-111.1484152
169,129,-111.1484152,478,-25.09986096,3.550080939
156,169,3.550080939,129,-111.1484152,-11.62648721
112,156,-11.62648721,169,3.550080939,-18.79265652
405,112,-18.79265652,156,-11.62648721,67.65282355
227,405,67.65282355,112,-18.79265652,-64.74978156
408,227,-64.74978156,405,67.65282355,33.90023846
365,408,33.90023846,227,-64.74978156,-31.14913061
372,365,-31.14913061,408,33.90023846,-16.49897042
163,372,-16.49897042,365,-31.14913061,-70.84633989
257,163,-70.84633989,372,-16.49897042,15.3501992
347,257,15.3501992,163,-70.84633989,9.654226032
267,347,9.654226032,257,15.3501992,-37.33938475
332,267,-37.33938475,347,9.654226032,2.900716728
359,332,2.900716728,267,-37.33938475,-9.743777006
458,359,-9.743777006,332,2.900716728,6.810423052
132,458,6.810423052,359,-9.743777006,-104.3788949
225,132,-104.3788949,458,6.810423052,16.65009178
133,225,16.65009178,132,-104.3788949,-34.24640579
435,133,-34.24640579,225,16.65009178,68.85085192
247,435,68.85085192,133,-34.24640579,-68.74978909
462,247,-68.74978909,435,68.85085192,41.40021153
348,462,41.40021153,247,-68.74978909,-51.5994169
440,348,-51.5994169,462,41.40021153,5.600375446
316,440,5.600375446,348,-51.5994169,-52.96910167
496,316,-52.96910167,440,5.600375446,29.20035629
338,496,29.20035629,316,-52.96910167,-64.29882857
220,338,-64.29882857,496,29.20035629,-46.39975818
233,220,-46.39975818,338,-64.29882857,-7.749535734
401,233,-7.749535734,220,-46.39975818,30.36637859
225,401,30.36637859,233,-7.749535734,-64.04891671
326,225,-64.04891671,401,30.36637859,14.00024371
474,326,14.00024371,225,-64.04891671,20.70507597
324,474,20.70507597,326,14.00024371,-61.1976728
397,324,-61.1976728,474,20.70507597,2.05026694
215,397,2.05026694,324,-61.1976728,-65.15782515
165,215,-65.15782515,397,2.05026694,-23.24976451
315,165,-23.24976451,215,-65.15782515,29.25184655
451,315,29.25184655,165,-23.24976451,18.25116731
217,451,18.25116731,315,29.25184655,-81.04700693
224,217,-81.04700693,451,18.25116731,-9.099847784
460,224,-9.099847784,217,-81.04700693,47.81193214
130,460,47.81193214,224,-9.099847784,-105.4995627
245,130,-105.4995627,460,47.81193214,22.25008984
119,245,22.25008984,130,-105.4995627,-43.74798414
320,119,-43.74798414,245,22.25008984,44.30052222
243,320,44.30052222,119,-43.74798414,-35.24949071
110,243,-35.24949071,320,44.30052222,-45.39919584
215,110,-45.39919584,243,-35.24949071,20.75048495
458,215,20.75048495,110,-45.39919584,50.00231705
188,458,50.00231705,215,20.75048495,-90.3996002
254,188,-90.3996002,458,50.00231705,7.100122353
466,254,7.100122353,188,-90.3996002,40.31945081
469,466,40.31945081,254,7.100122353,-22.54938524
253,469,-22.54938524,466,40.31945081,-77.44803719
131,253,-77.44803719,469,-22.54938524,-43.14983331
206,131,-43.14983331,253,-77.44803719,12.2005368
261,206,12.2005368,131,-43.14983331,3.456673202
116,261,3.456673202,206,12.2005368,-49.22277151
392,116,-49.22277151,261,3.456673202,63.20041256
223,392,63.20041256,116,-49.22277151,-61.84974971
